"Date","Description","Amount","Category","Type","Account Name"
"04 23 2025","sale product","111.41","Food & Dining","Debit","test savings"
"02 19 2025","order item service","144.29","Income","Credit","test savings"
"06 24 2025","service goods item service buy","221.99","Income","Credit","test savings"
"01 24 2025","product purchase buy order order","195.94","Food & Dining","Debit","test checking"
"07 02 2025","sale purchase item","107.37","Shopping","Debit","test checking"
"03 19 2025","item sale order purchase","71.41","Income","Credit","test savings"
"08 24 2025","service sale goods","189.95","Shopping","Debit","test savings"
"03 24 2025","goods service deal","51.37","Income","Credit","test savings"
"02 03 2025","purchase offer purchase","223.44","Income","Credit","test savings"
"06 17 2025","goods order item buy product","67.62","Income","Credit","test savings"
"02 04 2025","sale sale item","353.41","Income","Credit","test savings"
"07 29 2025","offer offer","129.34","Income","Credit","test savings"
"03 24 2025","offer order buy sale item","124.71","Food & Dining","Debit","test checking"
